year,utilityNumber,utilityName,state,part,serviceType,dataType,ownership,baCode,resRev,resSales,resCust,resPrice,comRev,comSales,comCust,comPrice,indRev,indSales,indCust,indPrice,transRev,transSales,transCust,transPrice,totalRev,totalSales,totalCust,totalPrice
2003,5068,Denver City & County of,CO,A,Bundled,O,Facility,,175,4400,1,3.98,,,,,,,,,,,,,175,4400,1,3.98
2003,5068,Denver City & County of,CO,A,Bundled,O,Facility,,436,10600,1,4.11,,,,,,,,,,,,,436,10600,1,4.11
2003,5068,Denver City & County of,CO,A,Bundled,O,Facility,,252,6800,1,3.71,,,,,,,,,,,,,252,6800,1,3.71
2003,918,City of Aspen,CO,A,Bundled,O,Municipal,,1407,18923,1747,7.44,2554,22669,798,11.27,0,0,0,,0,0,0,,3961,41592,2545,9.52
2003,5068,Denver City & County of,CO,A,Bundled,O,Facility,,55,1800,1,3.06,,,,,,,,,,,,,55,1800,1,3.06
2003,5086,Delta Montrose Electric Assn,CO,A,Bundled,O,Cooperative,,19572,217422,25241,9,5241,60334,2684,8.69,14021,239711,210,5.85,0,0,0,,38834,517467,28135,7.5
2003,5036,City of Delta,CO,A,Bundled,O,Municipal,,1391,14530,2066,9.57,1062,12984,457,8.18,1510,19554,39,7.72,0,0,0,,3963,47068,2562,8.42
2003,3227,City of Center,CO,A,Bundled,O,Municipal,,339,5273,860,6.43,155,2362,140,6.56,437,8175,64,5.35,0,0,0,,931,15810,1064,5.89
2003,3989,Colorado Springs City of,CO,A,Bundled,O,Municipal,,91856,1291590,171241,7.11,104120,1831743,22913,5.68,55014,1144945,214,4.8,0,0,0,,250990,4268278,194368,5.88
2003,19204,City of Trinidad,CO,A,Bundled,O,Municipal,,1770,20984,3692,8.43,2110,25822,628,8.17,0,0,0,,0,0,0,,3880,46806,4320,8.29
2003,19160,"Tri-County Electric Coop, Inc",CO,A,Bundled,O,Cooperative,,10,113,6,8.85,23,193,30,11.92,0,0,0,,0,0,0,,33,306,36,10.78
2003,19499,"United Power, Inc",CO,A,Bundled,O,Cooperative,,33094,390247,32731,8.48,27895,384457,6435,7.26,6036,119626,9,5.05,0,0,0,,67025,894330,39175,7.49
2003,17834,City of Springfield,CO,A,Bundled,O,Municipal,,460,5413,772,8.5,249,2995,193,8.31,229,2982,17,7.68,0,0,0,,938,11390,982,8.24
2003,17715,Southwestern Electric Coop Inc,CO,A,Bundled,O,Cooperative,,9,60,7,15,1,11,1,9.09,0,0,0,,0,0,0,,10,71,8,14.08
2003,17592,Southeast Colorado Power Assn,CO,A,Bundled,O,Cooperative,,6458,57319,7449,11.27,4846,52936,1169,9.15,3331,45843,1310,7.27,,,,,14635,156098,9928,9.38
2003,40230,Deseret Generation & Tran Coop,CO,A,Bundled,O,Cooperative,,0,0,0,,0,0,0,,1146,32743,1,3.5,0,0,0,,1146,32743,1,3.5
2003,27058,"High West Energy, Inc",CO,A,Bundled,O,Cooperative,,431,5459,594,7.9,423,6032,83,7.01,165,2171,83,7.6,0,0,0,,1019,13662,760,7.46
2003,12345,Metropolitan Wastewater Reclam,CO,A,Bundled,O,Facility,,,,,,,,,,114,27329,1,0.42,,,,,114,27329,1,0.42
2003,19173,Trigen-Nations Energy Co,CO,A,Bundled,O,Facility,,,,,,,,,,11365,306605,1,3.71,,,,,11365,306605,1,3.71
2003,20576,"White River Electric Assn, Inc",CO,A,Bundled,O,Cooperative,,1290,16046,2229,8.04,2200,28953,590,7.6,9923,197018,8,5.04,0,0,0,,13413,242017,2827,5.54
2003,20510,"Wheatland Electric Coop, Inc",CO,A,Bundled,O,Cooperative,,19,168,33,11.31,24,146,20,16.44,0,0,0,,,,,,43,314,53,13.69
